"","ensembl","beta","p.value","prod"
"1361","FBgn0015316",0.00298530268865267,0.437712373378788,0.0010711599697823
"3039","FBgn0030300",0.00256209526412157,0.438129004460836,0.000918249806319881
"10446","FBgn0085399",0.000299063971844714,0.438213892809428,0.000107158765542198
"4698","FBgn0033089",0.000834095343310325,0.438295181731319,0.000298800730358079
"4466","FBgn0032665",0.00791363578520886,0.438362855518789,0.00283439727453211
"3844","FBgn0031622",0.000767138542307479,0.438700008140423,0.000274506993150907
"1671","FBgn0021765",0.00916940905743179,0.438791818584527,0.00328027795393811
"790","FBgn0004811",0.000763591611654286,0.439555427367021,0.000272591784754474
"5683","FBgn0034833",0.00360668414795451,0.440933628941231,0.00128263346035171
"332","FBgn0002284",0.00661583593105964,0.440940266543451,0.00235272515968864
"1320","FBgn0015010",0.0211773541926853,0.441221053422614,0.00752524093727926
"2886","FBgn0029995",0.000114924395428712,0.441286376148793,4.08302794858447e-05
"7600","FBgn0038079",0.0024539921345348,0.441313583720431,0.00087178734304712
"9107","FBgn0042187",0.00331358054953518,0.442367521618147,0.00117372578678826
"1145","FBgn0011725",0.00317167017220156,0.442602273926876,0.0011227279767093
"557","FBgn0003430",0.0042702552712999,0.442831579854136,0.00151065154993986
"2752","FBgn0029768",0.00672818410655153,0.443043809810808,0.00237877187559787
"1991","FBgn0025678",0.00521542221449921,0.443464613281779,0.00184177956972861
"9923","FBgn0052440",0.00237198893955125,0.44358952051662,0.000837356504741732
"37","FBgn0000109",0.00144232872166072,0.443651791065857,0.000509081116009923
"10823","FBgn0260487",8.64946831883466e-05,0.4436638053179,3.05279524663085e-05
"7484","FBgn0037882",0.00402587476884519,0.443713561756479,0.00142072032483497
"2560","FBgn0028906",0.00216306768324941,0.443848593342768,0.000763054900412954
"2294","FBgn0027565",0.00483326957458987,0.443899146238153,0.00170477001422764
"8827","FBgn0040341",0.000371266897073285,0.444247808959249,0.000130825063506249
"4694","FBgn0033081",0.00330353333715668,0.444990062360251,0.00116168646629751
"3415","FBgn0030886",0.0047875632744139,0.445087273479343,0.00168309096173495
"7264","FBgn0037531",0.000650500432533067,0.445591694616794,0.000228366576475287
"5629","FBgn0034724",0.0109875003724582,0.445683179244836,0.00385632428063025
"2754","FBgn0029771",0.00178807416822115,0.446039655857743,0.000626946237296826
"6317","FBgn0035983",0.00331548258859796,0.44612626451641,0.00116221658737358
"5043","FBgn0033725",0.00495779530527079,0.446159962129317,0.00173775388444631
"7078","FBgn0037222",0.00124031101535802,0.446331774877136,0.000434533282524881
"2463","FBgn0028550",0.00414974657716166,0.44647646201274,0.00145324719347722
"6294","FBgn0035945",0.00542862362440756,0.446601674217426,0.001900450675684
"8519","FBgn0039620",0.0150763439617387,0.44670595653036,0.00527639257349116
"8211","FBgn0039087",0.00803723657908595,0.446825680540426,0.00281192265542223
"11275","FBgn0263102",0.00445099814283746,0.447031760504381,0.00155634322221971
"4957","FBgn0033578",0.00528235258734734,0.447265144841194,0.00184583858514321
"11430","FBgn0264491",0.0042669275774243,0.447505104737898,0.00149001967067472
"2782","FBgn0029827",0.00413547854821556,0.447879164843473,0.00144261678143902
"8660","FBgn0039831",0.00291635950664577,0.44790511708451,0.00101726695477458
"10092","FBgn0053123",0.0102534372612888,0.447925203100876,0.00357634253018847
"6553","FBgn0036380",0.00375948832582561,0.447940660785194,0.00131123250997216
"9319","FBgn0050195",0.00465676584922643,0.448000858293393,0.00162391276069519
"3278","FBgn0030679",0.00348791977469774,0.448089949903388,0.00121601020141555
