"","ensembl","p.value"
"562","FBgn0029751",0.0364444324967856
"563","FBgn0016715",0.0366191843826879
"564","FBgn0032820",0.0367162047069893
"565","FBgn0003463",0.03690224426731
"566","FBgn0033204",0.0369790911747657
"567","FBgn0041160",0.037227675229973
"568","FBgn0052568",0.0374256619799891
"569","FBgn0030769",0.0375798704998693
"570","FBgn0003867",0.0376220433680857
"571","FBgn0267330",0.0376302499414119
"572","FBgn0058160",0.0376368967058345
"573","FBgn0020248",0.0376672087313459
"574","FBgn0034335",0.0378889975732554
"575","FBgn0031700",0.0378955621228896
"576","FBgn0039328",0.0379294727489218
"577","FBgn0031936",0.0380621232687749
"578","FBgn0039130",0.0384682702119329
"579","FBgn0033471",0.0385038976267234
"580","FBgn0039668",0.0386437642338442
"581","FBgn0250904",0.0388411490800136
"582","FBgn0017579",0.0391398560266669
"583","FBgn0053468",0.0391519141167265
"584","FBgn0000042",0.0395289188795364
"585","FBgn0259223",0.0397881349696669
"586","FBgn0032507",0.0398686322642011
"587","FBgn0051658",0.0402388686482559
"588","FBgn0265523",0.0402859734709446
"589","FBgn0013718",0.0403425929076056
"590","FBgn0032639",0.0405319221865566
"591","FBgn0039713",0.0406880551343869
"592","FBgn0032235",0.0407237980275921
"593","FBgn0052670",0.0407275423511685
"594","FBgn0034276",0.0409811367004408
"595","FBgn0026181",0.041322380024717
"596","FBgn0021764",0.0413731397399472
"597","FBgn0026403",0.0415104963488474
"598","FBgn0002626",0.0415229699963925
"599","FBgn0260812",0.0415376839274288
"600","FBgn0037042",0.0415604468079918
"601","FBgn0037181",0.0418988910453198
"602","FBgn0063493",0.0419817445263776
"603","FBgn0029863",0.0420773235693048
"604","FBgn0033459",0.0421264785947655
"605","FBgn0028515",0.0421664231639457
"606","FBgn0027578",0.042233692564458
"607","FBgn0033683",0.0424277010718822
"608","FBgn0000635",0.0424294186154172
"609","FBgn0034928",0.0424545748597717
"610","FBgn0266000",0.0429026071387347
"611","FBgn0030505",0.042975180263988
"612","FBgn0010300",0.0429883204343491
"613","FBgn0029964",0.0430423461361129
"614","FBgn0034726",0.0431411902845424
"615","FBgn0034094",0.043178543255437
"616","FBgn0029996",0.0432847238162948
"617","FBgn0039109",0.0434348797475275
"618","FBgn0032805",0.0434386170628624
"619","FBgn0033659",0.0435036161907021
"620","FBgn0031057",0.0436351331096102
"621","FBgn0052686",0.043788362852583
