,x
1092,FBgn0011829
1093,FBgn0011836
1094,FBgn0011837
1095,FBgn0011878
1096,FBgn0012009
1097,FBgn0012034
1098,FBgn0012036
1099,FBgn0012037
1100,FBgn0012042
1101,FBgn0012051
1102,FBgn0012058
1103,FBgn0012344
1104,FBgn0013263
1105,FBgn0013269
1106,FBgn0013272
1107,FBgn0013276
1108,FBgn0013277
1109,FBgn0013278
1110,FBgn0013279
1111,FBgn0013303
1112,FBgn0013305
1113,FBgn0013307
1114,FBgn0013308
1115,FBgn0013323
1116,FBgn0013325
1117,FBgn0013334
1118,FBgn0013342
1119,FBgn0013343
1120,FBgn0013347
1121,FBgn0013432
1122,FBgn0013433
1123,FBgn0013435
1124,FBgn0013467
1125,FBgn0013469
1126,FBgn0013531
1127,FBgn0013548
1128,FBgn0013563
1129,FBgn0013576
1130,FBgn0013672
1131,FBgn0013673
1132,FBgn0013674
1133,FBgn0013675
1134,FBgn0013676
1135,FBgn0013678
1136,FBgn0013679
1137,FBgn0013680
1138,FBgn0013681
1139,FBgn0013683
1140,FBgn0013684
1141,FBgn0013685
1142,FBgn0013686
1143,FBgn0013688
1144,FBgn0013689
1145,FBgn0013707
1146,FBgn0013717
1147,FBgn0013718
1148,FBgn0013720
1149,FBgn0013725
1150,FBgn0013726
1151,FBgn0013732
1152,FBgn0013733
1153,FBgn0013746
1154,FBgn0013749
1155,FBgn0013750
1156,FBgn0013751
1157,FBgn0013753
1158,FBgn0013756
1159,FBgn0013759
1160,FBgn0013762
1161,FBgn0013763
1162,FBgn0013764
1163,FBgn0013765
1164,FBgn0013767
1165,FBgn0013770
1166,FBgn0013771
1167,FBgn0013772
1168,FBgn0013773
1169,FBgn0013799
1170,FBgn0013810
1171,FBgn0013811
1172,FBgn0013812
1173,FBgn0013813
1174,FBgn0013949
1175,FBgn0013953
1176,FBgn0013954
1177,FBgn0013972
1178,FBgn0013973
1179,FBgn0013981
1180,FBgn0013983
1181,FBgn0013987
1182,FBgn0013995
1183,FBgn0013997
1184,FBgn0014000
1185,FBgn0014002
1186,FBgn0014006
1187,FBgn0014007
1188,FBgn0014009
1189,FBgn0014010
1190,FBgn0014011
1191,FBgn0014018
1192,FBgn0014019
1193,FBgn0014020
1194,FBgn0014022
1195,FBgn0014023
1196,FBgn0014024
1197,FBgn0014026
1198,FBgn0014028
1199,FBgn0014029
1200,FBgn0014031
1201,FBgn0014032
1202,FBgn0014033
1203,FBgn0014037
1204,FBgn0014073
1205,FBgn0014075
